code,name,description,category,url
88,Etats ex-Yougoslavie non spécifié,,,
89,"Europe, régional",,,
189,"Nord du Sahara, régional",,,
289,"Sud du Sahara, régional",,,
298,"Afrique, régional",,,
380,"Indes occ., régional",,,
389,"Amérique N. & C., régional",,,
489,"Amérique du Sud, régional",,,
498,"Amérique, régional",,,
589,"Moyen-Orient, régional",,,
619,"Asie centrale, régional",,,
679,"Asie du Sud, régional",,,
689,"Asie du Sud & C., régional",,,
789,"Extrême-Orient, régional",,,
798,"Asie, régional",,,
889,"Océanie, régional",,,
998,"Pays en développement, non spécifié",,,
1027,"Afrique de l'est, régional",,,
1028,"Afrique centrale, régional",,,
1029,"Afrique australe, régional",,,
1030,"Afrique occidentale, régional",,,
1031,"Caraïbes, régional",,,
1032,"Amérique centrale, régional",,,
1033,"Mélanésie, régional",,,
1034,"Micronésie, régional",,,
1035,"Polynésie, régional",,,
